organizacion_id;provincia_id
5325;06
5331;06
5338;06
5339;06
5340;06
5341;06
5394;06
5404;06
5410;06
5414;06
5441;06
5487;06
5526;06
5559;06
5560;06
5564;06
5565;06
5566;06
5569;06
5633;06
5717;06
5718;06
5725;06
5726;06
5770;06
5800;06
5884;06
5892;06
5897;06
5903;06
5914;06
5918;06
5921;06
5927;06
5928;06
5929;06
5945;06
5963;06
6001;06
6033;06
6034;06
6055;06
6056;06
6081;06
6146;06
6165;06
6166;06
6167;06
6168;06
6169;06
6170;06
6171;06
6209;06
6210;06
6212;06
6234;06
6366;06
6367;06
6370;06
6395;06
6396;06
6491;06
6498;06
6543;06
6557;06
6562;06
6572;06
6615;06
6638;06
6658;06
6659;06
6660;06
6713;06
6714;06
6726;06
6727;06
6744;06
6745;06
6777;06
6807;06
6821;06
6831;06
6974;06
6975;06
6976;06
6978;06
6979;06
7033;06
7034;06
7035;06
7081;06
7085;06
7197;06
7429;06
7430;06
7448;06
7457;06
7471;06
7528;06
7542;06
7556;06
7557;06
7598;06
7638;06
7650;06
7659;06
7679;06
7680;06
7721;06
7722;06
7742;06
7848;06
7880;06
7892;06
8027;06
8062;06
8082;06
8090;06
8122;06
8168;06
8173;06
8174;06
8195;06
8235;06
8239;06
8278;06
8321;06
8760;06
8763;06
8792;06
8793;06
8954;06
8957;06
8958;06
8959;06
8960;06
8961;06
8962;06
8963;06
8964;06
9007;06
9010;06
9014;06
9015;06
9016;06
9017;06
9147;06
9206;06
9239;06
9370;06
9371;06
9372;06
9373;06
9374;06
9375;06
9376;06
9400;06
9401;06
9402;06
9403;06
9404;06
9413;06
9433;06
9435;06
9436;06
9437;06
9438;06
9439;06
9440;06
9444;06
9445;06
9446;06
9447;06
9448;06
9449;06
9450;06
9506;06
9570;06
9626;06
9657;06
9701;06
9716;06
9740;06
9797;06
9932;06
9962;06
10031;06
10071;06
10174;06
10315;06
10345;06
10360;06
10365;06
10366;06
10368;06
10369;06
10370;06
10371;06
10372;06
10383;06
10405;06
10599;06
10611;06
10692;06
10709;06
10710;06
10753;06
10754;06
10844;06
10845;06
10866;06
10870;06
10871;06
11079;06
11082;06
11125;06
11250;06
11296;06
11346;06
11354;06
11372;06
11486;06
11497;06
11536;06
11600;06
11649;06
11682;06
11738;06
11852;06
11898;06
12170;06
12587;06
12658;06
12699;06
12865;06
12873;06
12908;06
13085;06
13139;06
13162;06
13233;06
13297;06
13371;06
13401;06
13559;06
13588;06
13692;06
13741;06
13806;06
13920;06
13942;06
13946;06
13951;06
14004;06
14055;06
14059;06
14197;06
14204;06
14282;06
14525;06
14653;06
15021;06
15215;06
15220;06
15400;06
15415;06
15488;06
15659;06
15676;06
15693;06
15771;06
15807;06
15908;06
15988;06
16000;06
16006;06
16007;06
16078;06
16098;06
16103;06
16105;06
16123;06
16225;06
16238;06
16240;06
16249;06
16251;06
16255;06
16269;06
16277;06
16279;06
16290;06
16302;06
16321;06
16325;06
16477;06
16481;06
16652;06
16739;06
16789;06
16872;06
16876;06
16877;06
16895;06
16899;06
16950;06
16951;06
16967;06
16996;06
17001;06
17013;06
17078;06
17084;06
17126;06
17296;06
17335;06
17388;06
17569;06
17593;06
17601;06
17784;06
17788;06
17826;06
17906;06
17949;06
17971;06
17972;06
18002;06
18337;06
18386;06
18392;06
18402;06
18403;06
18410;06
18431;06
18526;06
18694;06
18723;06
18777;06
18879;06
18880;06
18917;06
18974;06
19019;06
19023;06
19025;06
19046;06
19119;06
19120;06
19213;06
19305;06
19306;06
19349;06
19350;06
19351;06
19389;06
19429;06
19483;06
19497;06
19570;06
19780;06
19820;06
11821;06
12871;06
12922;06
13771;06
12143;06
14216;06
742;06
876;06
1683;06
1694;06
3229;06
3350;06
4028;06
7478;06
7527;06
8931;06
9618;06
10693;06
10694;06
14391;06
16294;06
17618;06
17620;06
17670;06
18878;06
14253;06
3469;06
3470;06
4509;06
10601;06
12078;06
